"angle","file","species","specimenId","mimicType","accuracy"
"Lateral","../data/outlines/Morphometrics B-W/CRS101_lateral_interpolated_angle_adjust.jpg","Myrmarachne formicaria","CRS101","mimetic spider",8.86351452011575e-27
"Lateral","../data/outlines/Morphometrics B-W/JMS116_e_lateral_interpolated.jpg","Myrmarachne erythrocephala","JMS116","mimetic spider",2.24759706460992e-13
"Lateral","../data/outlines/Morphometrics B-W/JMS117_g_lateral.jpg","Myrmarachne erythrocephala","JMS117","mimetic spider",8.3323394458959e-14
"Lateral","../data/outlines/Morphometrics B-W/JMS120_f_lateral_interpolated.jpg","Myrmarachne macleayana","JMS120","mimetic spider",1.72395205685966e-16
"Lateral","../data/outlines/Morphometrics B-W/MCZ108610_lateral_interpolated.jpg","Myrmapana parallela","MCZ108610","mimetic spider",2.91730861161787e-08
"Lateral","../data/outlines/Morphometrics B-W/MCZ125078_lateral_interpolated.jpg","Myrmapeni chickeringi","MCZ125078","mimetic spider",1.82475361576297e-17
"Lateral","../data/outlines/Morphometrics B-W/MCZ126957_lateral_interpolated.jpg","Castianeira longipalpa","MCZ126957","mimetic spider",6.92127632910301e-52
"Lateral","../data/outlines/Morphometrics B-W/MCZ128934_lateral_angle_adjust.jpg","Myrmaplata plataleoides","MCZ128934","mimetic spider",0.00483710790700463
"Lateral","../data/outlines/Morphometrics B-W/MCZ137106_lateral.jpg","Castianeira gertschi","MCZ137106","mimetic spider",1.27558682509509e-13
"Lateral","../data/outlines/Morphometrics B-W/MCZ142573_lateral_interpolated.jpg","Castianeira trilineata","MCZ142573","mimetic spider",4.6531839927994e-30
"Lateral","../data/outlines/Morphometrics B-W/MCZ16734_lateral_angle_adjust.jpg","Aetius nocturnus","MCZ16734","mimetic spider",9.50182636468659e-11
"Lateral","../data/outlines/Morphometrics B-W/MCZ28119_lateral_angle_adjust.jpg","Sphecotypus niger","MCZ28119","mimetic spider",1.3585554816896e-05
"Lateral","../data/outlines/Morphometrics B-W/MCZ28153_lateral.jpg","Mazax spinosa","MCZ28153","mimetic spider",8.65344474367374e-30
"Lateral","../data/outlines/Morphometrics B-W/MCZ44162_lateral_angle_adjust_deformed.jpg","Serendib volans","MCZ44162","mimetic spider",1.41386233060022e-20
"Lateral","../data/outlines/Morphometrics B-W/MCZ67875_lateral.jpg","Myrmecotypus rettenmeyeri","MCZ67875","mimetic spider",1.12792713850882e-09
"Lateral","../data/outlines/Morphometrics B-W/MCZ79128_lateral_interpolated.jpg","Mazax pax","MCZ79128","mimetic spider",2.35851948562954e-17
"Lateral","../data/outlines/Morphometrics B-W/MCZ93522_lateral_angle_adjust_deformed.jpg","Myrmapana centralis","MCZ93522","mimetic spider",2.44107360889845e-10
"Lateral","../data/outlines/Morphometrics B-W/MCZ95991_lateral_angle_adjust.jpg","Corinnomma sp.","MCZ95991","mimetic spider",0.00092046600206413
"Lateral","../data/outlines/Morphometrics B-W/MCZ96085_lateral_interpolated_angle_adjust.jpg","Serendib suthepica","MCZ96085","mimetic spider",1.32098247598839e-22
"Lateral","../data/outlines/Morphometrics B-W/MUS401_b_lateral_interpolated.jpg","Myrmarachne luctuosa","MUS401","mimetic spider",9.43213661591626e-17
"Lateral","../data/outlines/Morphometrics B-W/TPS103_b_lateral_interpolated.jpg","Myrmarachne helensmithae","TPS103","mimetic spider",9.45206446020784e-08
"Lateral","../data/outlines/Morphometrics B-W/TPS104_b_lateral_angle_adjust.jpg","Myrmarachne macaulayi","TPS104","mimetic spider",7.56435708872962e-11
