"angle","file","species","specimenId","mimicType","accuracy"
"Dorsal","../data/outlines/Morphometrics B-W/Q00017_dorsal.jpg","Nyssus paradoxus","Q00017","mimetic spider",8.69673517515622e-07
"Dorsal","../data/outlines/Morphometrics B-W/Q44095_dorsal.jpg","Nucastia supunnoides","Q44095","mimetic spider",0.000167036588940246
"Dorsal","../data/outlines/Morphometrics B-W/Q50886_dorsal.jpg","Nyssus luteofinis","Q50886","mimetic spider",4.29049090274508e-08
"Dorsal","../data/outlines/Morphometrics B-W/Q80326_dorsal.jpg","Disnyssus helenmirrenae","Q80326","mimetic spider",2.61108144257798e-12
"Dorsal","../data/outlines/Morphometrics B-W/Q84598_dorsal.jpg","Iridonyssus formicans","Q84598","mimetic spider",9.68100721067054e-12
"Dorsal","../data/outlines/Morphometrics B-W/Q84821_dorsal.jpg","Nyssus albopunctatus","Q84821","mimetic spider",6.09320672538124e-53
"Dorsal","../data/outlines/Morphometrics B-W/Q87362_dorsal.jpg","Creugas gulosus","Q87362","mimetic spider",1.02798985945263e-11
"Dorsal","../data/outlines/Morphometrics B-W/Q98191_dorsal.jpg","Leptopicia bimaculata","Q98191","mimetic spider",0.00925340134783452
"Dorsal","../data/outlines/Morphometrics B-W/SHS116_dorsal.jpg","Nyssus coloripes","SHS116","mimetic spider",6.37852875082154e-26
"Dorsal","../data/outlines/Morphometrics B-W/TPS103_a_dorsal_angle_adjust.jpg","Myrmarachne helensmithae","TPS103","mimetic spider",0.000608393107086245
"Dorsal","../data/outlines/Morphometrics B-W/TPS104_a_dorsal.jpg","Myrmarachne macaulayi","TPS104","mimetic spider",0.05221333159498
"Dorsal","../data/outlines/Morphometrics B-W/WWS101_dorsal.jpg","Ligonipes semitectus","WWS101","mimetic spider",0.000130969743571631
