mass_A
t,x,y
2.908000000e1,1.355948769e-1,5.093589256e-1
2.910000000e1,1.355835931e-1,5.093621070e-1
2.912000000e1,1.355742248e-1,5.093633981e-1
2.914000000e1,1.355763369e-1,5.093640344e-1
2.916000000e1,1.355782003e-1,5.093647408e-1
2.918000000e1,1.355796611e-1,5.093655550e-1
2.920000000e1,1.355811863e-1,5.093658977e-1
2.922000000e1,1.354629571e-1,5.095157208e-1
2.924000000e1,1.353145532e-1,5.097723598e-1
2.926000000e1,1.351148698e-1,5.098843731e-1
2.928000000e1,1.351092099e-1,5.100012627e-1
2.930000000e1,1.350405062e-1,5.100151264e-1
2.932000000e1,1.348115948e-1,5.102961953e-1
2.934000000e1,1.346524183e-1,5.103387231e-1
2.936000000e1,1.345643477e-1,5.103147509e-1
2.938000000e1,1.345367096e-1,5.107899086e-1
2.940000000e1,1.342127273e-1,5.112180079e-1
2.942000000e1,1.340920170e-1,5.113572561e-1
2.944000000e1,1.336898216e-1,5.119329279e-1
2.946000000e1,1.333330364e-1,5.123407731e-1
2.948000000e1,1.331558851e-1,5.125857915e-1
2.950000000e1,1.331458470e-1,5.126147554e-1
2.952000000e1,1.331382278e-1,5.126386259e-1
2.954000000e1,1.331379799e-1,5.126496197e-1
2.956000000e1,1.331380499e-1,5.126578833e-1
2.958000000e1,1.331383379e-1,5.126653849e-1
2.960000000e1,1.331377871e-1,5.126710994e-1
2.962000000e1,1.331397173e-1,5.126781016e-1
2.964000000e1,1.331414549e-1,5.126842433e-1
2.966000000e1,1.331428735e-1,5.126895559e-1
2.968000000e1,1.331440964e-1,5.126943324e-1
2.970000000e1,1.331321627e-1,5.127646718e-1
2.972000000e1,1.327828918e-1,5.131584040e-1
2.974000000e1,1.322246833e-1,5.136911968e-1
2.976000000e1,1.318052094e-1,5.141832762e-1
2.978000000e1,1.316759877e-1,5.142882705e-1
2.980000000e1,1.312365855e-1,5.149440618e-1
2.982000000e1,1.308043512e-1,5.152406937e-1
2.984000000e1,1.306577752e-1,5.154760644e-1
2.986000000e1,1.304958052e-1,5.158009310e-1
2.988000000e1,1.301176817e-1,5.162357169e-1
2.990000000e1,1.299035081e-1,5.164912863e-1
2.992000000e1,1.293755736e-1,5.170545953e-1
2.994000000e1,1.288657313e-1,5.176519835e-1
2.996000000e1,1.287224462e-1,5.178748509e-1
2.998000000e1,1.282321267e-1,5.184444855e-1
3.000000000e1,1.278654567e-1,5.189951217e-1
3.002000000e1,1.277511281e-1,5.190773015e-1
3.004000000e1,1.273859334e-1,5.193267855e-1
3.006000000e1,1.272246715e-1,5.194297917e-1
3.008000000e1,1.270817059e-1,5.194829915e-1
3.010000000e1,1.263743489e-1,5.194064234e-1
3.012000000e1,1.263803351e-1,5.196174959e-1
3.014000000e1,1.263751004e-1,5.198760456e-1
3.016000000e1,1.259287467e-1,5.203851154e-1
3.018000000e1,1.253523440e-1,5.210064499e-1
3.020000000e1,1.253437436e-1,5.209875616e-1
3.022000000e1,1.253448346e-1,5.209750907e-1
3.024000000e1,1.253456946e-1,5.209645412e-1
3.026000000e1,1.253465169e-1,5.209550769e-1
3.028000000e1,1.253469980e-1,5.209471829e-1
3.030000000e1,1.253473594e-1,5.209401261e-1
3.032000000e1,1.253474766e-1,5.209340599e-1
3.034000000e1,1.253475528e-1,5.209287010e-1
3.036000000e1,1.253475942e-1,5.209239919e-1
3.038000000e1,1.253475528e-1,5.209199590e-1
3.040000000e1,1.253474942e-1,5.209163800e-1
3.042000000e1,1.253475565e-1,5.209131800e-1
3.044000000e1,1.253476743e-1,5.209102760e-1
3.046000000e1,1.253404172e-1,5.212091742e-1
3.048000000e1,1.251167625e-1,5.218846437e-1
3.050000000e1,1.249049249e-1,5.221954685e-1
3.052000000e1,1.247952506e-1,5.225699249e-1
3.054000000e1,1.244715442e-1,5.230334640e-1
3.056000000e1,1.243703970e-1,5.229824663e-1
3.058000000e1,1.242319766e-1,5.231043167e-1
3.060000000e1,1.240613851e-1,5.233248539e-1
3.062000000e1,1.239748667e-1,5.233673725e-1
3.064000000e1,1.239130718e-1,5.234036711e-1
3.066000000e1,1.235717923e-1,5.233797055e-1
3.068000000e1,1.236048895e-1,5.234564673e-1
3.070000000e1,1.235144180e-1,5.237210218e-1
3.072000000e1,1.234412073e-1,5.240434109e-1
3.074000000e1,1.234155976e-1,5.242505491e-1
3.076000000e1,1.233059758e-1,5.243866970e-1
3.078000000e1,1.232843611e-1,5.246567172e-1
3.080000000e1,1.232922484e-1,5.246744819e-1
3.082000000e1,1.233153031e-1,5.246664632e-1
3.084000000e1,1.233344233e-1,5.246562494e-1
3.086000000e1,1.233411202e-1,5.246611355e-1
3.088000000e1,1.233464273e-1,5.246628441e-1
3.090000000e1,1.233504517e-1,5.246680378e-1
3.092000000e1,1.233534736e-1,5.246710225e-1
3.094000000e1,1.233568569e-1,5.246748965e-1
3.096000000e1,1.233595157e-1,5.246770576e-1
3.098000000e1,1.233607355e-1,5.246812119e-1
3.100000000e1,1.233676378e-1,5.246739759e-1
3.102000000e1,1.233679665e-1,5.246784117e-1
3.104000000e1,1.233682328e-1,5.246825881e-1
3.106000000e1,1.233685941e-1,5.246861625e-1
3.108000000e1,1.233689648e-1,5.246894200e-1
3.110000000e1,1.233693634e-1,5.246923667e-1
3.112000000e1,1.233689498e-1,5.246950828e-1
3.114000000e1,1.233693959e-1,5.246975531e-1
3.116000000e1,1.233698217e-1,5.246997406e-1
3.118000000e1,1.233702693e-1,5.247017701e-1
3.120000000e1,1.233705971e-1,5.247035852e-1
3.122000000e1,1.233708219e-1,5.247051534e-1
3.124000000e1,1.233710108e-1,5.247064944e-1
3.126000000e1,1.233711629e-1,5.247077493e-1
3.128000000e1,1.233714020e-1,5.247088599e-1
3.130000000e1,1.233595931e-1,5.247403625e-1
3.132000000e1,1.229177501e-1,5.251648669e-1
3.134000000e1,1.227257130e-1,5.253243164e-1
3.136000000e1,1.223643338e-1,5.258181476e-1
3.138000000e1,1.217918777e-1,5.261585946e-1
3.140000000e1,1.216075758e-1,5.263463312e-1
3.142000000e1,1.213158021e-1,5.266189431e-1
3.144000000e1,1.210837691e-1,5.266805393e-1
3.146000000e1,1.207446801e-1,5.266615225e-1
3.148000000e1,1.208458029e-1,5.270249049e-1
3.150000000e1,1.204591077e-1,5.273654853e-1
3.152000000e1,1.203539873e-1,5.275948452e-1
3.154000000e1,1.200383092e-1,5.279308014e-1
3.156000000e1,1.197881382e-1,5.284752139e-1
3.158000000e1,1.195354821e-1,5.286482049e-1
3.160000000e1,1.193278402e-1,5.291050322e-1
3.162000000e1,1.190793556e-1,5.291070181e-1
3.164000000e1,1.190667738e-1,5.290956654e-1
3.166000000e1,1.190575395e-1,5.290888476e-1
