mass_A
t,x,y
1.629166667e0,3.218139568e-1,3.133232040e-1
1.633333333e0,3.218221997e-1,3.134027501e-1
1.637500000e0,3.218344003e-1,3.135313094e-1
1.641666667e0,3.218474961e-1,3.136921756e-1
1.645833333e0,3.218581750e-1,3.137345549e-1
1.650000000e0,3.218682500e-1,3.137699620e-1
1.654166667e0,3.218742413e-1,3.137952586e-1
1.658333333e0,3.218823668e-1,3.138247397e-1
1.662500000e0,3.218891683e-1,3.138644946e-1
1.666666667e0,3.218958030e-1,3.139164470e-1
1.670833333e0,3.219003866e-1,3.139852042e-1
1.675000000e0,3.219053687e-1,3.140775751e-1
1.679166667e0,3.218494439e-1,3.142225417e-1
1.683333333e0,3.218431837e-1,3.143942312e-1
1.687500000e0,3.218251703e-1,3.144876567e-1
1.691666667e0,3.218099621e-1,3.145492635e-1
1.695833333e0,3.218273045e-1,3.146227006e-1
1.700000000e0,3.218397562e-1,3.146960130e-1
1.704166667e0,3.218465084e-1,3.147945364e-1
1.708333333e0,3.218549309e-1,3.149291209e-1
1.712500000e0,3.218615054e-1,3.149761610e-1
1.716666667e0,3.218056525e-1,3.150502916e-1
1.720833333e0,3.218258662e-1,3.151596201e-1
1.725000000e0,3.218430001e-1,3.152415325e-1
1.729166667e0,3.218476699e-1,3.153109723e-1
1.733333333e0,3.218513193e-1,3.153611804e-1
1.737500000e0,3.218495594e-1,3.154045501e-1
1.741666667e0,3.218485870e-1,3.154443633e-1
1.745833333e0,3.218403826e-1,3.155463011e-1
1.750000000e0,3.218304861e-1,3.156933998e-1
1.754166667e0,3.217041101e-1,3.159224431e-1
1.758333333e0,3.217035284e-1,3.160904497e-1
1.762500000e0,3.217377860e-1,3.161667492e-1
1.766666667e0,3.217638366e-1,3.162289002e-1
1.770833333e0,3.217800294e-1,3.162899921e-1
1.775000000e0,3.217915774e-1,3.163537701e-1
1.779166667e0,3.218089690e-1,3.164421704e-1
1.783333333e0,3.218196277e-1,3.165652667e-1
1.787500000e0,3.217332986e-1,3.167187712e-1
1.791666667e0,3.217713987e-1,3.168660319e-1
1.795833333e0,3.217839393e-1,3.169206265e-1
1.800000000e0,3.217962438e-1,3.169632398e-1
1.804166667e0,3.218043056e-1,3.170015964e-1
1.808333333e0,3.218132232e-1,3.170377227e-1
1.812500000e0,3.218034771e-1,3.171446921e-1
1.816666667e0,3.217875560e-1,3.173179803e-1
1.820833333e0,3.216350128e-1,3.175521490e-1
1.825000000e0,3.216473782e-1,3.177245650e-1
1.829166667e0,3.216892061e-1,3.177773211e-1
1.833333333e0,3.217251750e-1,3.178246562e-1
1.837500000e0,3.217500128e-1,3.178735452e-1
1.841666667e0,3.217713454e-1,3.179212333e-1
1.845833333e0,3.217938751e-1,3.179591125e-1
1.850000000e0,3.218106199e-1,3.179975165e-1
1.854166667e0,3.218258095e-1,3.180397026e-1
1.858333333e0,3.218402315e-1,3.180932644e-1
1.862500000e0,3.218215580e-1,3.181999648e-1
1.866666667e0,3.216810270e-1,3.183336226e-1
1.870833333e0,3.216721780e-1,3.184731385e-1
