mass_A
t,x,y
7.750000000e-1,2.726170536e-1,3.634567583e-1
7.791666667e-1,2.726331535e-1,3.634971545e-1
7.833333333e-1,2.726414499e-1,3.635134082e-1
7.875000000e-1,2.726456009e-1,3.636014887e-1
7.916666667e-1,2.726523979e-1,3.635500163e-1
7.958333333e-1,2.725846272e-1,3.639741415e-1
8.000000000e-1,2.725810381e-1,3.639788544e-1
8.041666667e-1,2.725839494e-1,3.639822461e-1
8.083333333e-1,2.725873507e-1,3.639864099e-1
8.125000000e-1,2.725873472e-1,3.639864073e-1
8.166666667e-1,2.725873522e-1,3.639864110e-1
8.208333333e-1,2.725968997e-1,3.640062755e-1
8.250000000e-1,2.725873495e-1,3.639864090e-1
8.291666667e-1,2.725892893e-1,3.639918166e-1
8.333333333e-1,2.725908028e-1,3.639975775e-1
8.375000000e-1,2.725926539e-1,3.640039772e-1
8.416666667e-1,2.725921310e-1,3.640099585e-1
8.458333333e-1,2.725921036e-1,3.640099362e-1
8.500000000e-1,2.725921169e-1,3.640099470e-1
8.541666667e-1,2.725921146e-1,3.640099452e-1
8.583333333e-1,2.725921270e-1,3.640099553e-1
8.625000000e-1,2.725893808e-1,3.640318886e-1
8.666666667e-1,2.725898971e-1,3.640640923e-1
8.708333333e-1,2.725861091e-1,3.640875576e-1
8.750000000e-1,2.725834387e-1,3.641215076e-1
8.791666667e-1,2.725625656e-1,3.642278686e-1
8.833333333e-1,2.725460160e-1,3.644024583e-1
8.875000000e-1,2.725260515e-1,3.645007148e-1
8.916666667e-1,2.725088955e-1,3.645635751e-1
8.958333333e-1,2.725044160e-1,3.646582090e-1
9.000000000e-1,2.724900326e-1,3.647222501e-1
9.041666667e-1,2.724695544e-1,3.647731217e-1
9.083333333e-1,2.724427163e-1,3.648257282e-1
9.125000000e-1,2.724094547e-1,3.648601591e-1
9.166666667e-1,2.723615334e-1,3.648964947e-1
9.208333333e-1,2.723019159e-1,3.649478897e-1
9.250000000e-1,2.724291211e-1,3.650065409e-1
9.291666667e-1,2.723827583e-1,3.650250722e-1
9.333333333e-1,2.722356160e-1,3.651157121e-1
9.375000000e-1,2.722307437e-1,3.651218105e-1
9.416666667e-1,2.722203377e-1,3.651320371e-1
9.458333333e-1,2.721966874e-1,3.651718067e-1
9.500000000e-1,2.721640543e-1,3.652418274e-1
9.541666667e-1,2.721051857e-1,3.653564146e-1
9.583333333e-1,2.720530016e-1,3.655014059e-1
9.625000000e-1,2.721546731e-1,3.656220623e-1
9.666666667e-1,2.721507939e-1,3.657045177e-1
9.708333333e-1,2.721498885e-1,3.657774903e-1
9.750000000e-1,2.721373098e-1,3.658265211e-1
9.791666667e-1,2.719534771e-1,3.658776447e-1
9.833333333e-1,2.719981383e-1,3.659236452e-1
9.875000000e-1,2.720080453e-1,3.659700376e-1
9.916666667e-1,2.720180832e-1,3.660224856e-1
9.958333333e-1,2.721547264e-1,3.661033918e-1
1.000000000e0,2.720993075e-1,3.661986405e-1
1.004166667e0,2.716690503e-1,3.666736903e-1
1.008333333e0,2.715773648e-1,3.667350678e-1
1.012500000e0,2.715499072e-1,3.667986476e-1
1.016666667e0,2.715297784e-1,3.668624254e-1
1.020833333e0,2.715204688e-1,3.669393062e-1
1.025000000e0,2.715165081e-1,3.670350448e-1
1.029166667e0,2.715386067e-1,3.671949626e-1
1.033333333e0,2.715008511e-1,3.673452078e-1
1.037500000e0,2.714750830e-1,3.674426540e-1
1.041666667e0,2.714558047e-1,3.675047211e-1
1.045833333e0,2.714672247e-1,3.675730933e-1
1.050000000e0,2.714272960e-1,3.676209714e-1
1.054166667e0,2.713995840e-1,3.676372013e-1
1.058333333e0,2.713639953e-1,3.676503768e-1
1.062500000e0,2.713044065e-1,3.677074693e-1
1.066666667e0,2.712194180e-1,3.677659799e-1
1.070833333e0,2.709080546e-1,3.682610890e-1
1.075000000e0,2.707635654e-1,3.683000485e-1
1.079166667e0,2.708822993e-1,3.683447233e-1
1.083333333e0,2.708135104e-1,3.683827804e-1
1.087500000e0,2.707669276e-1,3.684166607e-1
1.091666667e0,2.707308893e-1,3.684514626e-1
1.095833333e0,2.707035511e-1,3.685218176e-1
1.100000000e0,2.706757415e-1,3.686272092e-1
1.104166667e0,2.705384769e-1,3.687918947e-1
1.108333333e0,2.704918952e-1,3.689085885e-1
1.112500000e0,2.705103285e-1,3.689710481e-1
1.116666667e0,2.705169542e-1,3.690164580e-1
1.120833333e0,2.705268601e-1,3.690571723e-1
1.125000000e0,2.705313314e-1,3.690912641e-1
1.129166667e0,2.705040863e-1,3.690962796e-1
1.133333333e0,2.704668730e-1,3.690965936e-1
